review_id,employee_id,review_year,performance_rating,bonus_band,goal_status
700104,10052,2025,2.5,Medium,Met
700105,10053,2024,4.4,Low,Met
700106,10053,2025,3.3,Low,Met
700107,10054,2024,3.1,Low,Partially Met
700108,10054,2025,3.4,Low,Met
700109,10055,2024,2.5,Medium,Met
700110,10055,2025,3.6,Medium,Exceeded
700111,10056,2024,3.5,Medium,Partially Met
700112,10056,2025,4.2,High,Met
700113,10057,2024,3.6,High,Partially Met
700114,10057,2025,4.0,Medium,Partially Met
700115,10058,2024,4.2,Low,Partially Met
700116,10058,2025,2.7,Medium,Partially Met
700117,10059,2024,3.7,Medium,Partially Met
700118,10059,2025,3.0,Medium,Met
700119,10060,2024,3.1,High,Exceeded
700120,10060,2025,3.7,Medium,Partially Met
700121,10061,2024,4.0,Low,Exceeded
700122,10061,2025,3.3,Medium,Exceeded
700123,10062,2024,3.7,High,Partially Met
700124,10062,2025,1.5,Medium,Met
700125,10063,2024,2.9,High,Exceeded
700126,10063,2025,3.8,Low,Met
700127,10064,2024,2.7,Medium,Met
700128,10064,2025,2.3,High,Met
700129,10065,2024,4.5,Medium,Partially Met
700130,10065,2025,3.4,Low,Met
700131,10066,2024,3.2,Medium,Met
700132,10066,2025,3.2,Medium,Partially Met
700133,10067,2024,3.0,High,Exceeded
700134,10067,2025,3.6,High,Met
700135,10068,2024,4.3,Medium,Met
700136,10068,2025,2.2,Medium,Met
700137,10069,2024,3.3,Medium,Met
700138,10069,2025,3.8,High,Exceeded
700139,10070,2024,4.1,High,Met
700140,10070,2025,3.5,Medium,Exceeded
700141,10071,2024,3.7,Low,Exceeded
700142,10071,2025,2.8,Medium,Exceeded
700143,10072,2024,3.4,Low,Met
700144,10072,2025,3.4,High,Met
700145,10073,2024,3.2,Medium,Exceeded
700146,10073,2025,3.0,High,Met
700147,10074,2024,4.0,Medium,Met
700148,10074,2025,2.1,Medium,Met
700149,10075,2024,4.2,Medium,Met
700150,10075,2025,4.1,Medium,Met
700151,10076,2024,4.2,Medium,Met
700152,10076,2025,4.4,Medium,Met
700153,10077,2024,2.7,Low,Exceeded
700154,10077,2025,3.3,High,Met
700155,10078,2024,3.8,Low,Met
700156,10078,2025,3.5,Medium,Met
700157,10079,2024,3.8,High,Partially Met
700158,10079,2025,3.5,Low,Met
700159,10080,2024,3.0,High,Exceeded
700160,10080,2025,3.7,Medium,Partially Met
700161,10081,2024,4.4,Medium,Met
700162,10081,2025,3.1,Medium,Met
700163,10082,2024,2.8,Medium,Partially Met
700164,10082,2025,3.5,Low,Met
700165,10083,2024,3.1,Medium,Exceeded
700166,10083,2025,4.2,Medium,Met
700167,10084,2024,3.7,High,Met
700168,10084,2025,4.1,High,Partially Met
700169,10085,2024,3.4,Low,Met
700170,10085,2025,2.8,Medium,Met
700171,10086,2024,2.2,Low,Exceeded
700172,10086,2025,3.0,Low,Met
700173,10087,2024,2.6,High,Met
700174,10087,2025,3.2,Medium,Met
700175,10088,2024,1.7,Low,Met
700176,10088,2025,4.6,Medium,Met
700177,10089,2024,3.7,Medium,Met
700178,10089,2025,3.6,Medium,Exceeded
700179,10090,2024,3.0,Low,Met
700180,10090,2025,3.0,High,Exceeded
700181,10091,2024,4.0,Low,Partially Met
700182,10091,2025,3.6,High,Exceeded
700183,10092,2024,4.3,Medium,Met
700184,10092,2025,3.5,Medium,Met
700185,10093,2024,3.8,Medium,Partially Met
700186,10093,2025,3.7,High,Partially Met
700187,10094,2024,2.6,Medium,Met
700188,10094,2025,2.7,High,Exceeded
700189,10095,2024,2.6,High,Exceeded
700190,10095,2025,3.4,Medium,Met
700191,10096,2024,3.2,High,Exceeded
700192,10096,2025,2.9,High,Exceeded
700193,10097,2024,4.0,Medium,Met
700194,10097,2025,2.9,Low,Met
700195,10098,2024,3.6,Medium,Met
700196,10098,2025,3.2,High,Met
700197,10099,2024,3.8,Low,Met
700198,10099,2025,3.7,Medium,Met
700199,10100,2024,3.0,Medium,Met
700200,10100,2025,3.7,Medium,Met
700201,10101,2024,4.8,High,Met
700202,10101,2025,3.1,High,Exceeded
700203,10102,2024,3.2,Medium,Partially Met
700204,10102,2025,3.1,Medium,Met
700205,10103,2024,3.1,Medium,Met
700206,10103,2025,4.6,Medium,Partially Met
700207,10104,2024,3.7,Medium,Exceeded
700208,10104,2025,3.4,Medium,Met
700209,10105,2024,2.8,Low,Met
700210,10105,2025,3.3,Medium,Met
700211,10106,2024,4.5,Medium,Met
700212,10106,2025,3.5,Medium,Partially Met
700213,10107,2024,2.8,Medium,Exceeded
700214,10107,2025,2.8,Medium,Met
700215,10108,2024,1.6,Medium,Met
700216,10108,2025,4.2,High,Met
700217,10109,2024,3.5,Low,Met
700218,10109,2025,3.3,Medium,Exceeded
700219,10110,2024,3.2,Medium,Met
700220,10110,2025,3.8,Medium,Partially Met
700221,10111,2024,2.4,Medium,Met
700222,10111,2025,3.9,Medium,Partially Met
700223,10112,2024,2.7,Low,Exceeded
700224,10112,2025,2.9,High,Met
700225,10113,2024,2.5,Low,Met
700226,10113,2025,2.9,Medium,Met
700227,10114,2024,3.3,Medium,Met
700228,10114,2025,3.9,Medium,Met
700229,10115,2024,2.9,Medium,Met
700230,10115,2025,4.1,Low,Partially Met
700231,10116,2024,3.0,Low,Met
700232,10116,2025,4.5,Medium,Met
700233,10117,2024,3.2,Medium,Exceeded
700234,10117,2025,4.9,Medium,Met
700235,10118,2024,3.6,Medium,Met
700236,10118,2025,2.6,Medium,Met
700237,10119,2024,2.7,Medium,Met
700238,10119,2025,3.2,High,Met
700239,10120,2024,3.4,High,Partially Met
700240,10120,2025,2.9,High,Partially Met
700241,10121,2024,4.4,Low,Exceeded
700242,10121,2025,4.0,High,Partially Met
700243,10122,2024,3.1,High,Met
700244,10122,2025,3.0,High,Met
700245,10123,2024,3.0,High,Met
700246,10123,2025,4.4,Medium,Met
700247,10124,2024,2.5,Medium,Exceeded
700248,10124,2025,4.1,High,Exceeded
700249,10125,2024,3.7,Medium,Met
700250,10125,2025,4.0,High,Exceeded
700251,10126,2024,2.9,High,Met
700252,10126,2025,3.8,High,Partially Met
700253,10127,2024,2.6,Medium,Exceeded
700254,10127,2025,3.5,Medium,Met
700255,10128,2024,3.7,High,Met
700256,10128,2025,2.5,Medium,Met
700257,10129,2024,4.1,Medium,Met
700258,10129,2025,2.7,High,Partially Met
700259,10130,2024,2.5,Medium,Met
700260,10130,2025,3.5,High,Met
700261,10131,2024,3.3,Low,Met
700262,10131,2025,3.5,High,Met
700263,10132,2024,3.3,Medium,Met
700264,10132,2025,2.9,Medium,Met
700265,10133,2024,4.4,Medium,Met
700266,10133,2025,4.1,Medium,Exceeded
700267,10134,2024,2.7,Medium,Met
700268,10134,2025,3.0,High,Partially Met
700269,10135,2024,3.8,High,Met
700270,10135,2025,3.9,Medium,Met
700271,10136,2024,2.7,Medium,Partially Met
700272,10136,2025,2.3,High,Met
700273,10137,2024,3.5,Medium,Exceeded
700274,10137,2025,3.1,Medium,Met
700275,10138,2024,2.6,Medium,Met
700276,10138,2025,3.7,Medium,Met
700277,10139,2024,3.4,High,Met
700278,10139,2025,2.7,Low,Met
700279,10140,2024,3.5,High,Met
700280,10140,2025,3.6,Medium,Met
700281,10141,2024,4.0,High,Partially Met
700282,10141,2025,2.5,Medium,Exceeded
700283,10142,2024,3.7,Medium,Met
700284,10142,2025,3.5,High,Met
700285,10143,2024,2.8,Medium,Exceeded
700286,10143,2025,4.4,Low,Partially Met
700287,10144,2024,4.2,Medium,Met
700288,10144,2025,4.9,Low,Exceeded
700289,10145,2024,1.9,Medium,Met
700290,10145,2025,3.9,Medium,Met
700291,10146,2024,2.9,High,Met
700292,10146,2025,2.5,Medium,Met
700293,10147,2024,3.0,Low,Exceeded
700294,10147,2025,3.4,High,Partially Met
700295,10148,2024,3.6,Medium,Met
700296,10148,2025,5.0,High,Exceeded
700297,10149,2024,3.7,Medium,Met
700298,10149,2025,3.4,Medium,Exceeded
700299,10150,2024,3.7,Medium,Met
700300,10150,2025,3.2,Medium,Met
700301,10151,2024,4.1,High,Partially Met
700302,10151,2025,3.2,High,Met
700303,10152,2024,3.2,Medium,Met
700304,10152,2025,3.6,High,Met
700305,10153,2024,3.9,High,Met
700306,10153,2025,4.0,Low,Met
700307,10154,2024,3.1,High,Met
700308,10154,2025,4.3,Medium,Met
700309,10155,2024,3.5,Medium,Met
700310,10155,2025,3.2,Medium,Met
700311,10156,2024,3.0,Medium,Met
700312,10156,2025,3.5,Low,Met
700313,10157,2024,2.7,Medium,Met
700314,10157,2025,3.3,High,Exceeded
700315,10158,2024,2.7,Low,Met
700316,10158,2025,3.0,High,Met
700317,10159,2024,3.4,Medium,Met
700318,10159,2025,3.1,Medium,Partially Met
700319,10160,2024,4.5,Medium,Met
700320,10160,2025,4.2,Medium,Met
700321,10161,2024,2.8,Medium,Met
700322,10161,2025,3.9,Medium,Met
700323,10162,2024,2.7,High,Exceeded
700324,10162,2025,4.2,Low,Exceeded
700325,10163,2024,2.6,Low,Met
700326,10163,2025,4.0,Medium,Met
700327,10164,2024,3.5,High,Met
700328,10164,2025,3.4,High,Met
700329,10165,2024,3.5,Medium,Met
700330,10165,2025,4.3,High,Met
700331,10166,2024,4.6,Low,Met
700332,10166,2025,4.1,Medium,Partially Met
700333,10167,2024,2.2,Medium,Met
700334,10167,2025,3.7,Medium,Partially Met
700335,10168,2024,3.1,Medium,Met
700336,10168,2025,4.2,Low,Partially Met
700337,10169,2024,3.7,Medium,Exceeded
700338,10169,2025,3.8,Low,Exceeded
700339,10170,2024,3.6,Medium,Exceeded
700340,10170,2025,3.0,Medium,Met
700341,10171,2024,2.7,Medium,Partially Met
700342,10171,2025,3.9,Low,Met
700343,10172,2024,3.9,Medium,Met
700344,10172,2025,1.9,Medium,Exceeded
700345,10173,2024,3.9,Medium,Met
700346,10173,2025,2.2,Medium,Met
700347,10174,2024,4.0,Medium,Met
700348,10174,2025,2.4,High,Partially Met
700349,10175,2024,3.6,Medium,Partially Met
700350,10175,2025,2.7,High,Met
700351,10176,2024,2.6,Medium,Met
700352,10176,2025,3.7,Low,Exceeded
700353,10177,2024,3.4,Medium,Partially Met
700354,10177,2025,3.9,Low,Met
700355,10178,2024,4.0,Medium,Met
700356,10178,2025,2.5,High,Exceeded
700357,10179,2024,3.9,High,Partially Met
700358,10179,2025,3.6,Medium,Met
700359,10180,2024,2.3,Medium,Met
700360,10180,2025,1.9,Low,Met
700361,10181,2024,2.8,Low,Met
700362,10181,2025,3.0,High,Met
700363,10182,2024,3.0,Medium,Met
700364,10182,2025,3.5,Low,Partially Met
700365,10183,2024,4.1,Medium,Met
700366,10183,2025,3.1,High,Exceeded
700367,10184,2024,3.8,Medium,Met
700368,10184,2025,4.1,High,Partially Met
700369,10185,2024,3.2,High,Met
700370,10185,2025,2.5,Medium,Partially Met
700371,10186,2024,3.6,Medium,Partially Met
700372,10186,2025,4.5,Low,Met
700373,10187,2024,3.4,Medium,Met
700374,10187,2025,3.8,Medium,Met
700375,10188,2024,3.0,Medium,Exceeded
700376,10188,2025,4.2,Medium,Met
700377,10189,2024,4.0,Medium,Met
700378,10189,2025,3.5,Low,Met
700379,10190,2024,4.3,Low,Partially Met
700380,10190,2025,1.8,High,Met
700381,10191,2024,4.7,High,Met
700382,10191,2025,4.1,Medium,Partially Met
700383,10192,2024,3.8,Medium,Met
700384,10192,2025,2.3,High,Exceeded
700385,10193,2024,2.6,High,Met
700386,10193,2025,3.2,Low,Exceeded
700387,10194,2024,3.8,Low,Exceeded
700388,10194,2025,1.7,Low,Met
700389,10195,2024,3.8,Low,Partially Met
700390,10195,2025,2.2,Medium,Met
700391,10196,2024,3.1,Low,Exceeded
700392,10196,2025,4.5,High,Met
700393,10197,2024,3.4,High,Met
700394,10197,2025,4.5,Low,Met
700395,10198,2024,4.0,High,Partially Met
700396,10198,2025,2.9,Low,Exceeded
700397,10199,2024,3.9,Low,Met
700398,10199,2025,4.0,Low,Met
700399,10200,2024,3.7,Low,Partially Met
700400,10200,2025,4.1,Medium,Met
700401,10201,2024,3.9,Medium,Met
700402,10201,2025,3.0,High,Partially Met
700403,10202,2024,2.4,Medium,Met
700404,10202,2025,2.4,Low,Met
700405,10203,2024,4.5,High,Exceeded
700406,10203,2025,3.9,Medium,Met
700407,10204,2024,3.6,Medium,Met
700408,10204,2025,3.0,Medium,Exceeded
700409,10205,2024,3.1,Medium,Exceeded
700410,10205,2025,2.4,Medium,Partially Met
700411,10206,2024,3.4,Medium,Met
700412,10206,2025,4.0,Medium,Partially Met
700413,10207,2024,2.9,Medium,Met
700414,10207,2025,3.9,Medium,Met
700415,10208,2024,2.9,Medium,Partially Met
700416,10208,2025,4.0,Low,Exceeded
700417,10209,2024,2.8,Medium,Partially Met
700418,10209,2025,2.7,High,Met
700419,10210,2024,2.7,High,Met
700420,10210,2025,3.3,Medium,Partially Met
700421,10211,2024,3.5,High,Exceeded
700422,10211,2025,3.7,Medium,Exceeded
700423,10212,2024,3.7,Medium,Met
700424,10212,2025,3.6,Low,Met
700425,10213,2024,4.1,Medium,Met
700426,10213,2025,4.6,Medium,Met
700427,10214,2024,3.5,Medium,Met
700428,10214,2025,3.1,High,Met
700429,10215,2024,2.9,Low,Met
700430,10215,2025,4.2,Low,Exceeded
700431,10216,2024,3.5,Medium,Partially Met
700432,10216,2025,3.9,Medium,Met
700433,10217,2024,4.2,Medium,Met
700434,10217,2025,2.6,Low,Met
700435,10218,2024,4.1,Medium,Exceeded
700436,10218,2025,3.6,Medium,Met
700437,10219,2024,2.9,Medium,Exceeded
700438,10219,2025,3.9,Medium,Exceeded
700439,10220,2024,3.6,High,Partially Met
700440,10220,2025,3.9,Medium,Met
700441,10221,2024,3.2,Medium,Met
700442,10221,2025,3.8,Low,Met
700443,10222,2024,4.6,Medium,Exceeded
700444,10222,2025,3.7,Medium,Exceeded
700445,10223,2024,4.1,Low,Exceeded
700446,10223,2025,3.7,Medium,Met
700447,10224,2024,2.9,Medium,Partially Met
700448,10224,2025,3.0,High,Met
700449,10225,2024,3.2,Medium,Partially Met
700450,10225,2025,3.0,Medium,Exceeded
700451,10226,2024,3.2,Medium,Met
700452,10226,2025,4.1,Low,Met
700453,10227,2024,2.3,High,Exceeded
700454,10227,2025,3.0,Medium,Met
700455,10228,2024,3.4,Medium,Met
700456,10228,2025,2.6,Medium,Met
700457,10229,2024,3.9,Low,Met
700458,10229,2025,3.1,Low,Met
700459,10230,2024,3.3,Medium,Met
700460,10230,2025,3.8,High,Met
700461,10231,2024,4.9,Medium,Met
700462,10231,2025,3.1,Medium,Met
700463,10232,2024,3.9,Medium,Met
700464,10232,2025,3.5,Low,Exceeded
700465,10233,2024,3.5,Medium,Met
700466,10233,2025,3.6,Low,Met
700467,10234,2024,4.5,Low,Met
700468,10234,2025,4.2,Medium,Partially Met
700469,10235,2024,4.8,High,Met
700470,10235,2025,4.3,Medium,Met
700471,10236,2024,3.8,Low,Met
700472,10236,2025,4.2,Medium,Met
700473,10237,2024,3.6,Medium,Met
700474,10237,2025,2.0,Medium,Met
700475,10238,2024,3.1,High,Exceeded
700476,10238,2025,4.4,Medium,Exceeded
700477,10239,2024,3.7,Medium,Exceeded
700478,10239,2025,3.8,Medium,Met
700479,10240,2024,3.2,Medium,Partially Met
700480,10240,2025,3.6,Medium,Met
700481,10241,2024,4.1,Medium,Met
700482,10241,2025,3.1,Low,Met
700483,10242,2024,3.4,High,Met
700484,10242,2025,3.5,Medium,Met
700485,10243,2024,3.9,Medium,Met
700486,10243,2025,3.7,Medium,Met
700487,10244,2024,3.7,High,Partially Met
700488,10244,2025,3.1,Low,Met
700489,10245,2024,3.9,High,Met
700490,10245,2025,3.7,Medium,Exceeded
700491,10246,2024,2.9,Medium,Exceeded
700492,10246,2025,3.4,Medium,Exceeded
700493,10247,2024,3.0,Medium,Exceeded
700494,10247,2025,3.0,Medium,Met
700495,10248,2024,3.6,High,Met
700496,10248,2025,3.6,Medium,Met
700497,10249,2024,3.6,Medium,Met
700498,10249,2025,4.7,High,Partially Met
700499,10250,2024,4.9,Medium,Exceeded
700500,10250,2025,3.2,Medium,Met
700501,10251,2024,3.4,Low,Met
700502,10251,2025,3.0,Medium,Partially Met
700503,10252,2024,3.4,Low,Met
700504,10252,2025,3.1,Low,Partially Met
700505,10253,2024,3.4,Medium,Met
700506,10253,2025,3.1,Medium,Met
700507,10254,2024,3.6,High,Met
700508,10254,2025,3.4,Medium,Exceeded
700509,10255,2024,2.3,Low,Met
700510,10255,2025,3.7,Low,Exceeded
700511,10256,2024,3.5,Medium,Met
700512,10256,2025,4.3,Medium,Exceeded
700513,10257,2024,3.4,Medium,Met
700514,10257,2025,3.6,Low,Met
700515,10258,2024,2.5,Medium,Met
700516,10258,2025,1.7,Medium,Met
700517,10259,2024,2.4,Medium,Exceeded
700518,10259,2025,2.7,High,Met
700519,10260,2024,3.7,Medium,Exceeded
700520,10260,2025,3.2,Low,Partially Met
700521,10261,2024,3.5,Medium,Exceeded
700522,10261,2025,3.4,Medium,Exceeded
700523,10262,2024,3.7,High,Met
700524,10262,2025,4.2,Low,Met
700525,10263,2024,3.9,Medium,Met
700526,10263,2025,3.4,Low,Met
700527,10264,2024,4.6,Medium,Met
700528,10264,2025,3.7,Medium,Met
700529,10265,2024,3.4,Low,Met
700530,10265,2025,3.3,Low,Partially Met
700531,10266,2024,4.7,High,Met
700532,10266,2025,3.2,Medium,Partially Met
700533,10267,2024,1.9,Medium,Met
700534,10267,2025,3.9,Medium,Exceeded
700535,10268,2024,4.3,High,Met
700536,10268,2025,2.1,High,Met
700537,10269,2024,3.8,Medium,Partially Met
700538,10269,2025,3.0,High,Met
700539,10270,2024,3.3,Medium,Exceeded
700540,10270,2025,4.4,High,Met
700541,10271,2024,2.8,High,Met
700542,10271,2025,3.7,Medium,Met
700543,10272,2024,5.0,High,Partially Met
700544,10272,2025,4.1,Medium,Met
700545,10273,2024,4.1,Medium,Exceeded
700546,10273,2025,2.9,Low,Met
700547,10274,2024,3.1,Medium,Partially Met
700548,10274,2025,3.2,Medium,Met
700549,10275,2024,3.9,Low,Partially Met
700550,10275,2025,3.5,Medium,Exceeded
700551,10276,2024,3.3,Medium,Met
700552,10276,2025,4.2,Medium,Exceeded
700553,10277,2024,4.3,Medium,Met
700554,10277,2025,2.6,High,Exceeded
700555,10278,2024,3.2,High,Partially Met
700556,10278,2025,3.6,Medium,Met
700557,10279,2024,3.5,Medium,Met
700558,10279,2025,3.5,Medium,Met
700559,10280,2024,3.6,Medium,Partially Met
700560,10280,2025,2.8,Medium,Partially Met
700561,10281,2024,2.3,Medium,Met
700562,10281,2025,3.2,Medium,Partially Met
700563,10282,2024,3.6,Low,Met
700564,10282,2025,3.4,Low,Met
700565,10283,2024,4.2,Medium,Met
700566,10283,2025,3.4,High,Partially Met
700567,10284,2024,4.2,Low,Exceeded
700568,10284,2025,3.5,Medium,Met
700569,10285,2024,4.6,Medium,Met
700570,10285,2025,3.8,Medium,Met
700571,10286,2024,3.3,Medium,Met
700572,10286,2025,3.5,Medium,Exceeded
700573,10287,2024,3.5,Medium,Partially Met
700574,10287,2025,3.9,Medium,Met
700575,10288,2024,4.7,High,Partially Met
700576,10288,2025,3.6,Medium,Exceeded
700577,10289,2024,2.6,Medium,Met
700578,10289,2025,2.5,High,Met
700579,10290,2024,3.7,Medium,Met
700580,10290,2025,3.9,High,Met
700581,10291,2024,2.8,Low,Partially Met
700582,10291,2025,3.3,Medium,Met
700583,10292,2024,3.5,Medium,Met
700584,10292,2025,3.2,Medium,Met
700585,10293,2024,3.9,Low,Met
700586,10293,2025,3.1,Medium,Met
700587,10294,2024,3.1,Low,Met
700588,10294,2025,2.7,Low,Met
700589,10295,2024,2.9,Medium,Met
700590,10295,2025,3.7,Medium,Partially Met
700591,10296,2024,4.2,Medium,Met
700592,10296,2025,4.1,Medium,Met
700593,10297,2024,3.2,High,Exceeded
700594,10297,2025,2.2,Medium,Met
700595,10298,2024,4.3,Low,Met
700596,10298,2025,2.3,Medium,Met
700597,10299,2024,3.0,Medium,Exceeded
700598,10299,2025,3.0,Medium,Met
700599,10300,2024,3.3,Medium,Exceeded
700600,10300,2025,2.8,Medium,Met
700601,10301,2024,2.9,Medium,Exceeded
700602,10301,2025,3.2,High,Met
700603,10302,2024,1.8,Medium,Met
700604,10302,2025,4.1,Medium,Partially Met
700605,10303,2024,2.8,High,Partially Met
700606,10303,2025,3.0,Medium,Partially Met
700607,10304,2024,2.9,High,Met
700608,10304,2025,4.6,High,Met
700609,10305,2024,3.1,Medium,Met
700610,10305,2025,4.2,Medium,Met
700611,10306,2024,4.9,Medium,Met
700612,10306,2025,3.5,Medium,Partially Met
700613,10307,2024,3.1,Medium,Met
700614,10307,2025,4.0,High,Partially Met
700615,10308,2024,3.7,Medium,Met
700616,10308,2025,3.9,High,Met
700617,10309,2024,3.8,High,Met
700618,10309,2025,3.7,Medium,Met
700619,10310,2024,3.1,Low,Met
700620,10310,2025,3.1,Low,Met
700621,10311,2024,3.7,Medium,Met
700622,10311,2025,4.0,Low,Met
700623,10312,2024,3.0,Medium,Exceeded
700624,10312,2025,2.7,Low,Partially Met
700625,10313,2024,3.0,High,Met
700626,10313,2025,5.0,Low,Met
700627,10314,2024,3.5,Medium,Partially Met
700628,10314,2025,3.9,Medium,Partially Met
700629,10315,2024,3.9,Medium,Met
700630,10315,2025,3.1,High,Partially Met
700631,10316,2024,3.0,Low,Partially Met
700632,10316,2025,3.0,High,Exceeded
700633,10317,2024,2.8,High,Met
700634,10317,2025,3.6,Low,Met
700635,10318,2024,4.3,Medium,Met
700636,10318,2025,3.7,Medium,Exceeded
700637,10319,2024,4.2,High,Partially Met
700638,10319,2025,3.0,Medium,Partially Met
700639,10320,2024,3.4,Low,Met
700640,10320,2025,5.0,Medium,Met
700641,10321,2024,3.2,Low,Partially Met
700642,10321,2025,2.8,High,Partially Met
700643,10322,2024,4.4,High,Met
700644,10322,2025,4.5,Low,Met
700645,10323,2024,4.6,Low,Met
700646,10323,2025,4.7,Medium,Met
700647,10324,2024,4.3,Low,Met
700648,10324,2025,3.6,Medium,Met
700649,10325,2024,3.1,Medium,Met
700650,10325,2025,3.6,Medium,Met
700651,10326,2024,2.6,Low,Exceeded
700652,10326,2025,3.4,High,Exceeded
700653,10327,2024,2.7,Medium,Met
700654,10327,2025,3.2,Medium,Partially Met
700655,10328,2024,4.2,High,Partially Met
700656,10328,2025,2.5,Medium,Partially Met
700657,10329,2024,3.8,Medium,Met
700658,10329,2025,4.4,Medium,Met
700659,10330,2024,4.1,Medium,Met
700660,10330,2025,2.9,Low,Exceeded
700661,10331,2024,2.9,High,Met
700662,10331,2025,4.0,Medium,Exceeded
700663,10332,2024,3.7,High,Met
700664,10332,2025,3.0,Low,Exceeded
700665,10333,2024,3.7,Medium,Met
700666,10333,2025,4.2,Medium,Met
700667,10334,2024,2.4,High,Exceeded
700668,10334,2025,3.1,Medium,Met
700669,10335,2024,4.2,Medium,Partially Met
700670,10335,2025,4.4,Medium,Met
700671,10336,2024,3.9,High,Met
700672,10336,2025,4.5,Medium,Met
700673,10337,2024,5.0,Medium,Met
700674,10337,2025,2.7,Medium,Exceeded
700675,10338,2024,3.6,Medium,Met
700676,10338,2025,3.8,Medium,Met
700677,10339,2024,3.4,Medium,Partially Met
700678,10339,2025,3.1,Medium,Met
700679,10340,2024,2.5,Medium,Met
700680,10340,2025,2.6,High,Exceeded
700681,10341,2024,2.5,Medium,Met
