attendance_id,employee_id,attendance_date,attendance_status,working_hours
900059,10005,2025-11-01,Work From Home,8
900060,10005,2025-12-01,Present,8
900061,10006,2025-01-01,Work From Home,8
900062,10006,2025-02-01,Present,8
900063,10006,2025-03-01,Present,8
900064,10006,2025-04-01,Present,8
900065,10006,2025-05-01,Work From Home,8
900066,10006,2025-06-01,Work From Home,8
900067,10006,2025-07-01,Present,8
900068,10006,2025-08-01,Leave,0
900069,10006,2025-09-01,Present,8
900070,10006,2025-10-01,Absent,0
900071,10006,2025-11-01,Absent,0
900072,10006,2025-12-01,Present,8
900073,10007,2025-01-01,Present,8
900074,10007,2025-02-01,Absent,0
900075,10007,2025-03-01,Present,8
900076,10007,2025-04-01,Present,8
900077,10007,2025-05-01,Present,8
900078,10007,2025-06-01,Present,8
900079,10007,2025-07-01,Present,8
900080,10007,2025-08-01,Present,8
900081,10007,2025-09-01,Present,8
900082,10007,2025-10-01,Present,8
900083,10007,2025-11-01,Present,8
900084,10007,2025-12-01,Present,8
900085,10008,2025-01-01,Work From Home,8
900086,10008,2025-02-01,Present,8
900087,10008,2025-03-01,Work From Home,8
900088,10008,2025-04-01,Present,8
900089,10008,2025-05-01,Present,8
900090,10008,2025-06-01,Leave,0
900091,10008,2025-07-01,Present,8
900092,10008,2025-08-01,Work From Home,8
900093,10008,2025-09-01,Present,8
900094,10008,2025-10-01,Present,8
900095,10008,2025-11-01,Present,8
900096,10008,2025-12-01,Present,8
900097,10009,2025-01-01,Absent,0
900098,10009,2025-02-01,Present,8
900099,10009,2025-03-01,Present,8
900100,10009,2025-04-01,Present,8
900101,10009,2025-05-01,Present,8
900102,10009,2025-06-01,Present,8
900103,10009,2025-07-01,Work From Home,8
900104,10009,2025-08-01,Present,8
900105,10009,2025-09-01,Present,8
900106,10009,2025-10-01,Present,8
900107,10009,2025-11-01,Present,8
900108,10009,2025-12-01,Present,8
900109,10010,2025-01-01,Present,8
900110,10010,2025-02-01,Present,8
900111,10010,2025-03-01,Present,8
900112,10010,2025-04-01,Present,8
900113,10010,2025-05-01,Present,8
900114,10010,2025-06-01,Present,8
900115,10010,2025-07-01,Present,8
900116,10010,2025-08-01,Present,8
900117,10010,2025-09-01,Present,8
900118,10010,2025-10-01,Present,8
900119,10010,2025-11-01,Work From Home,8
900120,10010,2025-12-01,Present,8
900121,10011,2025-01-01,Present,8
900122,10011,2025-02-01,Leave,0
900123,10011,2025-03-01,Present,8
900124,10011,2025-04-01,Leave,0
900125,10011,2025-05-01,Present,8
900126,10011,2025-06-01,Present,8
900127,10011,2025-07-01,Present,8
900128,10011,2025-08-01,Work From Home,8
900129,10011,2025-09-01,Present,8
900130,10011,2025-10-01,Present,8
900131,10011,2025-11-01,Leave,0
900132,10011,2025-12-01,Present,8
900133,10012,2025-01-01,Present,8
900134,10012,2025-02-01,Present,8
900135,10012,2025-03-01,Present,8
900136,10012,2025-04-01,Present,8
900137,10012,2025-05-01,Present,8
900138,10012,2025-06-01,Present,8
900139,10012,2025-07-01,Present,8
900140,10012,2025-08-01,Present,8
900141,10012,2025-09-01,Work From Home,8
900142,10012,2025-10-01,Present,8
900143,10012,2025-11-01,Present,8
900144,10012,2025-12-01,Work From Home,8
900145,10013,2025-01-01,Present,8
900146,10013,2025-02-01,Work From Home,8
900147,10013,2025-03-01,Present,8
900148,10013,2025-04-01,Absent,0
900149,10013,2025-05-01,Leave,0
900150,10013,2025-06-01,Work From Home,8
900151,10013,2025-07-01,Present,8
900152,10013,2025-08-01,Work From Home,8
900153,10013,2025-09-01,Work From Home,8
900154,10013,2025-10-01,Present,8
900155,10013,2025-11-01,Present,8
900156,10013,2025-12-01,Present,8
900157,10014,2025-01-01,Present,8
900158,10014,2025-02-01,Present,8
900159,10014,2025-03-01,Present,8
900160,10014,2025-04-01,Present,8
900161,10014,2025-05-01,Present,8
900162,10014,2025-06-01,Present,8
900163,10014,2025-07-01,Present,8
900164,10014,2025-08-01,Present,8
900165,10014,2025-09-01,Absent,0
900166,10014,2025-10-01,Present,8
900167,10014,2025-11-01,Present,8
900168,10014,2025-12-01,Leave,0
900169,10015,2025-01-01,Present,8
900170,10015,2025-02-01,Present,8
900171,10015,2025-03-01,Present,8
900172,10015,2025-04-01,Present,8
900173,10015,2025-05-01,Present,8
900174,10015,2025-06-01,Work From Home,8
900175,10015,2025-07-01,Present,8
900176,10015,2025-08-01,Present,8
900177,10015,2025-09-01,Present,8
900178,10015,2025-10-01,Present,8
900179,10015,2025-11-01,Work From Home,8
900180,10015,2025-12-01,Leave,0
900181,10016,2025-01-01,Present,8
900182,10016,2025-02-01,Present,8
900183,10016,2025-03-01,Present,8
900184,10016,2025-04-01,Present,8
900185,10016,2025-05-01,Present,8
900186,10016,2025-06-01,Present,8
900187,10016,2025-07-01,Present,8
900188,10016,2025-08-01,Present,8
900189,10016,2025-09-01,Present,8
900190,10016,2025-10-01,Leave,0
900191,10016,2025-11-01,Present,8
900192,10016,2025-12-01,Present,8
900193,10017,2025-01-01,Present,8
900194,10017,2025-02-01,Present,8
900195,10017,2025-03-01,Work From Home,8
900196,10017,2025-04-01,Present,8
900197,10017,2025-05-01,Present,8
900198,10017,2025-06-01,Leave,0
900199,10017,2025-07-01,Present,8
900200,10017,2025-08-01,Absent,0
900201,10017,2025-09-01,Work From Home,8
900202,10017,2025-10-01,Leave,0
900203,10017,2025-11-01,Present,8
900204,10017,2025-12-01,Absent,0
900205,10018,2025-01-01,Present,8
900206,10018,2025-02-01,Present,8
900207,10018,2025-03-01,Present,8
900208,10018,2025-04-01,Leave,0
900209,10018,2025-05-01,Present,8
900210,10018,2025-06-01,Present,8
900211,10018,2025-07-01,Present,8
900212,10018,2025-08-01,Leave,0
900213,10018,2025-09-01,Present,8
900214,10018,2025-10-01,Leave,0
900215,10018,2025-11-01,Present,8
900216,10018,2025-12-01,Leave,0
900217,10019,2025-01-01,Present,8
900218,10019,2025-02-01,Present,8
900219,10019,2025-03-01,Present,8
900220,10019,2025-04-01,Present,8
900221,10019,2025-05-01,Present,8
900222,10019,2025-06-01,Present,8
900223,10019,2025-07-01,Present,8
900224,10019,2025-08-01,Present,8
900225,10019,2025-09-01,Present,8
900226,10019,2025-10-01,Work From Home,8
900227,10019,2025-11-01,Present,8
900228,10019,2025-12-01,Present,8
900229,10020,2025-01-01,Present,8
900230,10020,2025-02-01,Present,8
900231,10020,2025-03-01,Work From Home,8
900232,10020,2025-04-01,Work From Home,8
900233,10020,2025-05-01,Leave,0
900234,10020,2025-06-01,Present,8
900235,10020,2025-07-01,Present,8
900236,10020,2025-08-01,Present,8
900237,10020,2025-09-01,Leave,0
900238,10020,2025-10-01,Work From Home,8
900239,10020,2025-11-01,Present,8
900240,10020,2025-12-01,Present,8
900241,10021,2025-01-01,Present,8
900242,10021,2025-02-01,Present,8
900243,10021,2025-03-01,Present,8
900244,10021,2025-04-01,Present,8
900245,10021,2025-05-01,Present,8
900246,10021,2025-06-01,Present,8
900247,10021,2025-07-01,Leave,0
900248,10021,2025-08-01,Present,8
900249,10021,2025-09-01,Present,8
900250,10021,2025-10-01,Present,8
900251,10021,2025-11-01,Present,8
900252,10021,2025-12-01,Present,8
900253,10022,2025-01-01,Present,8
900254,10022,2025-02-01,Present,8
900255,10022,2025-03-01,Leave,0
900256,10022,2025-04-01,Present,8
900257,10022,2025-05-01,Present,8
900258,10022,2025-06-01,Present,8
900259,10022,2025-07-01,Leave,0
900260,10022,2025-08-01,Present,8
900261,10022,2025-09-01,Work From Home,8
900262,10022,2025-10-01,Work From Home,8
900263,10022,2025-11-01,Leave,0
900264,10022,2025-12-01,Present,8
900265,10023,2025-01-01,Present,8
900266,10023,2025-02-01,Present,8
900267,10023,2025-03-01,Leave,0
900268,10023,2025-04-01,Present,8
900269,10023,2025-05-01,Present,8
900270,10023,2025-06-01,Present,8
900271,10023,2025-07-01,Absent,0
900272,10023,2025-08-01,Present,8
900273,10023,2025-09-01,Present,8
900274,10023,2025-10-01,Leave,0
900275,10023,2025-11-01,Present,8
900276,10023,2025-12-01,Present,8
900277,10024,2025-01-01,Present,8
900278,10024,2025-02-01,Work From Home,8
900279,10024,2025-03-01,Present,8
900280,10024,2025-04-01,Work From Home,8
900281,10024,2025-05-01,Present,8
900282,10024,2025-06-01,Work From Home,8
900283,10024,2025-07-01,Work From Home,8
900284,10024,2025-08-01,Present,8
900285,10024,2025-09-01,Present,8
900286,10024,2025-10-01,Work From Home,8
900287,10024,2025-11-01,Present,8
900288,10024,2025-12-01,Present,8
900289,10025,2025-01-01,Present,8
900290,10025,2025-02-01,Present,8
900291,10025,2025-03-01,Present,8
900292,10025,2025-04-01,Present,8
900293,10025,2025-05-01,Present,8
900294,10025,2025-06-01,Present,8
900295,10025,2025-07-01,Present,8
900296,10025,2025-08-01,Present,8
900297,10025,2025-09-01,Present,8
900298,10025,2025-10-01,Present,8
900299,10025,2025-11-01,Present,8
900300,10025,2025-12-01,Present,8
900301,10026,2025-01-01,Present,8
900302,10026,2025-02-01,Present,8
900303,10026,2025-03-01,Present,8
900304,10026,2025-04-01,Present,8
900305,10026,2025-05-01,Present,8
900306,10026,2025-06-01,Present,8
900307,10026,2025-07-01,Present,8
900308,10026,2025-08-01,Present,8
900309,10026,2025-09-01,Present,8
900310,10026,2025-10-01,Present,8
900311,10026,2025-11-01,Work From Home,8
900312,10026,2025-12-01,Work From Home,8
900313,10027,2025-01-01,Work From Home,8
900314,10027,2025-02-01,Present,8
900315,10027,2025-03-01,Present,8
900316,10027,2025-04-01,Present,8
900317,10027,2025-05-01,Present,8
900318,10027,2025-06-01,Present,8
900319,10027,2025-07-01,Absent,0
900320,10027,2025-08-01,Work From Home,8
900321,10027,2025-09-01,Present,8
900322,10027,2025-10-01,Present,8
900323,10027,2025-11-01,Present,8
900324,10027,2025-12-01,Present,8
900325,10028,2025-01-01,Present,8
900326,10028,2025-02-01,Present,8
900327,10028,2025-03-01,Present,8
900328,10028,2025-04-01,Present,8
900329,10028,2025-05-01,Present,8
900330,10028,2025-06-01,Present,8
900331,10028,2025-07-01,Present,8
900332,10028,2025-08-01,Present,8
900333,10028,2025-09-01,Present,8
900334,10028,2025-10-01,Present,8
900335,10028,2025-11-01,Present,8
900336,10028,2025-12-01,Present,8
900337,10029,2025-01-01,Present,8
900338,10029,2025-02-01,Present,8
900339,10029,2025-03-01,Present,8
900340,10029,2025-04-01,Work From Home,8
900341,10029,2025-05-01,Present,8
900342,10029,2025-06-01,Present,8
900343,10029,2025-07-01,Present,8
900344,10029,2025-08-01,Present,8
900345,10029,2025-09-01,Work From Home,8
900346,10029,2025-10-01,Leave,0
900347,10029,2025-11-01,Present,8
900348,10029,2025-12-01,Work From Home,8
900349,10030,2025-01-01,Work From Home,8
900350,10030,2025-02-01,Work From Home,8
900351,10030,2025-03-01,Present,8
900352,10030,2025-04-01,Present,8
900353,10030,2025-05-01,Present,8
900354,10030,2025-06-01,Absent,0
900355,10030,2025-07-01,Work From Home,8
900356,10030,2025-08-01,Present,8
900357,10030,2025-09-01,Work From Home,8
900358,10030,2025-10-01,Leave,0
900359,10030,2025-11-01,Present,8
900360,10030,2025-12-01,Present,8
900361,10031,2025-01-01,Absent,0
900362,10031,2025-02-01,Present,8
900363,10031,2025-03-01,Present,8
900364,10031,2025-04-01,Present,8
900365,10031,2025-05-01,Present,8
900366,10031,2025-06-01,Present,8
900367,10031,2025-07-01,Work From Home,8
900368,10031,2025-08-01,Present,8
900369,10031,2025-09-01,Present,8
900370,10031,2025-10-01,Work From Home,8
900371,10031,2025-11-01,Present,8
900372,10031,2025-12-01,Absent,0
900373,10032,2025-01-01,Present,8
900374,10032,2025-02-01,Work From Home,8
900375,10032,2025-03-01,Present,8
900376,10032,2025-04-01,Present,8
900377,10032,2025-05-01,Work From Home,8
900378,10032,2025-06-01,Present,8
900379,10032,2025-07-01,Present,8
900380,10032,2025-08-01,Present,8
900381,10032,2025-09-01,Present,8
900382,10032,2025-10-01,Present,8
900383,10032,2025-11-01,Absent,0
900384,10032,2025-12-01,Present,8
900385,10033,2025-01-01,Work From Home,8
900386,10033,2025-02-01,Present,8
900387,10033,2025-03-01,Absent,0
900388,10033,2025-04-01,Present,8
900389,10033,2025-05-01,Present,8
900390,10033,2025-06-01,Present,8
900391,10033,2025-07-01,Present,8
900392,10033,2025-08-01,Present,8
900393,10033,2025-09-01,Work From Home,8
900394,10033,2025-10-01,Work From Home,8
900395,10033,2025-11-01,Present,8
900396,10033,2025-12-01,Work From Home,8
900397,10034,2025-01-01,Present,8
900398,10034,2025-02-01,Present,8
900399,10034,2025-03-01,Present,8
900400,10034,2025-04-01,Work From Home,8
900401,10034,2025-05-01,Present,8
900402,10034,2025-06-01,Present,8
900403,10034,2025-07-01,Present,8
900404,10034,2025-08-01,Work From Home,8
900405,10034,2025-09-01,Present,8
900406,10034,2025-10-01,Present,8
900407,10034,2025-11-01,Present,8
900408,10034,2025-12-01,Present,8
900409,10035,2025-01-01,Present,8
900410,10035,2025-02-01,Present,8
900411,10035,2025-03-01,Present,8
900412,10035,2025-04-01,Present,8
900413,10035,2025-05-01,Present,8
900414,10035,2025-06-01,Leave,0
900415,10035,2025-07-01,Present,8
900416,10035,2025-08-01,Present,8
900417,10035,2025-09-01,Present,8
900418,10035,2025-10-01,Absent,0
900419,10035,2025-11-01,Work From Home,8
900420,10035,2025-12-01,Present,8
900421,10036,2025-01-01,Present,8
900422,10036,2025-02-01,Present,8
900423,10036,2025-03-01,Work From Home,8
900424,10036,2025-04-01,Present,8
900425,10036,2025-05-01,Present,8
900426,10036,2025-06-01,Present,8
900427,10036,2025-07-01,Present,8
900428,10036,2025-08-01,Present,8
900429,10036,2025-09-01,Work From Home,8
900430,10036,2025-10-01,Present,8
900431,10036,2025-11-01,Work From Home,8
900432,10036,2025-12-01,Present,8
900433,10037,2025-01-01,Work From Home,8
900434,10037,2025-02-01,Present,8
900435,10037,2025-03-01,Present,8
900436,10037,2025-04-01,Present,8
900437,10037,2025-05-01,Present,8
900438,10037,2025-06-01,Present,8
900439,10037,2025-07-01,Work From Home,8
900440,10037,2025-08-01,Present,8
900441,10037,2025-09-01,Present,8
900442,10037,2025-10-01,Work From Home,8
900443,10037,2025-11-01,Present,8
900444,10037,2025-12-01,Present,8
900445,10038,2025-01-01,Absent,0
900446,10038,2025-02-01,Present,8
900447,10038,2025-03-01,Present,8
900448,10038,2025-04-01,Present,8
900449,10038,2025-05-01,Present,8
900450,10038,2025-06-01,Present,8
900451,10038,2025-07-01,Present,8
900452,10038,2025-08-01,Present,8
900453,10038,2025-09-01,Present,8
900454,10038,2025-10-01,Work From Home,8
900455,10038,2025-11-01,Leave,0
900456,10038,2025-12-01,Present,8
900457,10039,2025-01-01,Work From Home,8
900458,10039,2025-02-01,Absent,0
900459,10039,2025-03-01,Present,8
900460,10039,2025-04-01,Present,8
900461,10039,2025-05-01,Present,8
900462,10039,2025-06-01,Present,8
900463,10039,2025-07-01,Present,8
900464,10039,2025-08-01,Leave,0
900465,10039,2025-09-01,Present,8
900466,10039,2025-10-01,Present,8
900467,10039,2025-11-01,Present,8
900468,10039,2025-12-01,Work From Home,8
900469,10040,2025-01-01,Present,8
900470,10040,2025-02-01,Present,8
900471,10040,2025-03-01,Leave,0
900472,10040,2025-04-01,Present,8
900473,10040,2025-05-01,Present,8
900474,10040,2025-06-01,Present,8
900475,10040,2025-07-01,Present,8
900476,10040,2025-08-01,Present,8
900477,10040,2025-09-01,Present,8
900478,10040,2025-10-01,Present,8
900479,10040,2025-11-01,Present,8
900480,10040,2025-12-01,Present,8
900481,10041,2025-01-01,Leave,0
900482,10041,2025-02-01,Present,8
900483,10041,2025-03-01,Work From Home,8
900484,10041,2025-04-01,Present,8
900485,10041,2025-05-01,Present,8
900486,10041,2025-06-01,Present,8
900487,10041,2025-07-01,Absent,0
900488,10041,2025-08-01,Present,8
900489,10041,2025-09-01,Present,8
900490,10041,2025-10-01,Present,8
900491,10041,2025-11-01,Present,8
900492,10041,2025-12-01,Present,8
900493,10042,2025-01-01,Present,8
900494,10042,2025-02-01,Present,8
900495,10042,2025-03-01,Present,8
900496,10042,2025-04-01,Present,8
900497,10042,2025-05-01,Present,8
900498,10042,2025-06-01,Present,8
900499,10042,2025-07-01,Present,8
900500,10042,2025-08-01,Present,8
900501,10042,2025-09-01,Present,8
900502,10042,2025-10-01,Work From Home,8
900503,10042,2025-11-01,Present,8
900504,10042,2025-12-01,Present,8
900505,10043,2025-01-01,Leave,0
900506,10043,2025-02-01,Present,8
900507,10043,2025-03-01,Present,8
900508,10043,2025-04-01,Present,8
900509,10043,2025-05-01,Absent,0
900510,10043,2025-06-01,Present,8
900511,10043,2025-07-01,Present,8
900512,10043,2025-08-01,Present,8
900513,10043,2025-09-01,Leave,0
900514,10043,2025-10-01,Present,8
900515,10043,2025-11-01,Present,8
900516,10043,2025-12-01,Present,8
900517,10044,2025-01-01,Present,8
900518,10044,2025-02-01,Present,8
900519,10044,2025-03-01,Present,8
900520,10044,2025-04-01,Absent,0
900521,10044,2025-05-01,Present,8
900522,10044,2025-06-01,Absent,0
900523,10044,2025-07-01,Present,8
900524,10044,2025-08-01,Present,8
900525,10044,2025-09-01,Present,8
900526,10044,2025-10-01,Present,8
900527,10044,2025-11-01,Work From Home,8
900528,10044,2025-12-01,Present,8
900529,10045,2025-01-01,Work From Home,8
900530,10045,2025-02-01,Present,8
900531,10045,2025-03-01,Present,8
900532,10045,2025-04-01,Present,8
900533,10045,2025-05-01,Present,8
900534,10045,2025-06-01,Present,8
900535,10045,2025-07-01,Work From Home,8
900536,10045,2025-08-01,Work From Home,8
900537,10045,2025-09-01,Work From Home,8
900538,10045,2025-10-01,Present,8
900539,10045,2025-11-01,Present,8
900540,10045,2025-12-01,Present,8
900541,10046,2025-01-01,Leave,0
900542,10046,2025-02-01,Leave,0
900543,10046,2025-03-01,Present,8
900544,10046,2025-04-01,Absent,0
900545,10046,2025-05-01,Work From Home,8
900546,10046,2025-06-01,Present,8
900547,10046,2025-07-01,Present,8
900548,10046,2025-08-01,Present,8
900549,10046,2025-09-01,Work From Home,8
900550,10046,2025-10-01,Present,8
900551,10046,2025-11-01,Present,8
900552,10046,2025-12-01,Present,8
900553,10047,2025-01-01,Present,8
900554,10047,2025-02-01,Present,8
900555,10047,2025-03-01,Absent,0
900556,10047,2025-04-01,Present,8
900557,10047,2025-05-01,Work From Home,8
900558,10047,2025-06-01,Present,8
900559,10047,2025-07-01,Work From Home,8
900560,10047,2025-08-01,Present,8
900561,10047,2025-09-01,Absent,0
900562,10047,2025-10-01,Present,8
900563,10047,2025-11-01,Present,8
900564,10047,2025-12-01,Leave,0
900565,10048,2025-01-01,Present,8
900566,10048,2025-02-01,Present,8
900567,10048,2025-03-01,Present,8
900568,10048,2025-04-01,Present,8
900569,10048,2025-05-01,Work From Home,8
900570,10048,2025-06-01,Present,8
900571,10048,2025-07-01,Work From Home,8
900572,10048,2025-08-01,Absent,0
900573,10048,2025-09-01,Absent,0
900574,10048,2025-10-01,Present,8
900575,10048,2025-11-01,Present,8
900576,10048,2025-12-01,Present,8
900577,10049,2025-01-01,Present,8
900578,10049,2025-02-01,Present,8
900579,10049,2025-03-01,Present,8
900580,10049,2025-04-01,Present,8
900581,10049,2025-05-01,Leave,0
900582,10049,2025-06-01,Present,8
900583,10049,2025-07-01,Present,8
900584,10049,2025-08-01,Present,8
900585,10049,2025-09-01,Present,8
900586,10049,2025-10-01,Present,8
900587,10049,2025-11-01,Present,8
900588,10049,2025-12-01,Present,8
900589,10050,2025-01-01,Leave,0
900590,10050,2025-02-01,Present,8
900591,10050,2025-03-01,Present,8
900592,10050,2025-04-01,Absent,0
900593,10050,2025-05-01,Present,8
900594,10050,2025-06-01,Present,8
900595,10050,2025-07-01,Present,8
900596,10050,2025-08-01,Work From Home,8
900597,10050,2025-09-01,Present,8
900598,10050,2025-10-01,Present,8
900599,10050,2025-11-01,Present,8
900600,10050,2025-12-01,Leave,0
900601,10051,2025-01-01,Present,8
900602,10051,2025-02-01,Work From Home,8
900603,10051,2025-03-01,Present,8
900604,10051,2025-04-01,Present,8
900605,10051,2025-05-01,Absent,0
900606,10051,2025-06-01,Present,8
900607,10051,2025-07-01,Present,8
900608,10051,2025-08-01,Present,8
900609,10051,2025-09-01,Present,8
900610,10051,2025-10-01,Leave,0
900611,10051,2025-11-01,Present,8
900612,10051,2025-12-01,Present,8
900613,10052,2025-01-01,Present,8
900614,10052,2025-02-01,Work From Home,8
900615,10052,2025-03-01,Present,8
900616,10052,2025-04-01,Present,8
900617,10052,2025-05-01,Present,8
900618,10052,2025-06-01,Present,8
900619,10052,2025-07-01,Present,8
900620,10052,2025-08-01,Leave,0
900621,10052,2025-09-01,Present,8
900622,10052,2025-10-01,Present,8
900623,10052,2025-11-01,Work From Home,8
900624,10052,2025-12-01,Present,8
900625,10053,2025-01-01,Present,8
900626,10053,2025-02-01,Work From Home,8
900627,10053,2025-03-01,Present,8
900628,10053,2025-04-01,Leave,0
900629,10053,2025-05-01,Present,8
900630,10053,2025-06-01,Present,8
900631,10053,2025-07-01,Present,8
900632,10053,2025-08-01,Work From Home,8
900633,10053,2025-09-01,Leave,0
900634,10053,2025-10-01,Present,8
900635,10053,2025-11-01,Leave,0
900636,10053,2025-12-01,Leave,0
900637,10054,2025-01-01,Work From Home,8
900638,10054,2025-02-01,Work From Home,8
900639,10054,2025-03-01,Present,8
900640,10054,2025-04-01,Present,8
900641,10054,2025-05-01,Present,8
900642,10054,2025-06-01,Present,8
900643,10054,2025-07-01,Present,8
900644,10054,2025-08-01,Leave,0
900645,10054,2025-09-01,Present,8
900646,10054,2025-10-01,Present,8
900647,10054,2025-11-01,Present,8
900648,10054,2025-12-01,Absent,0
900649,10055,2025-01-01,Leave,0
900650,10055,2025-02-01,Present,8
900651,10055,2025-03-01,Present,8
900652,10055,2025-04-01,Present,8
900653,10055,2025-05-01,Present,8
900654,10055,2025-06-01,Present,8
900655,10055,2025-07-01,Present,8
900656,10055,2025-08-01,Present,8
900657,10055,2025-09-01,Present,8
900658,10055,2025-10-01,Present,8
900659,10055,2025-11-01,Work From Home,8
900660,10055,2025-12-01,Present,8
900661,10056,2025-01-01,Leave,0
900662,10056,2025-02-01,Leave,0
900663,10056,2025-03-01,Present,8
900664,10056,2025-04-01,Present,8
900665,10056,2025-05-01,Work From Home,8
900666,10056,2025-06-01,Present,8
900667,10056,2025-07-01,Present,8
900668,10056,2025-08-01,Present,8
900669,10056,2025-09-01,Present,8
900670,10056,2025-10-01,Present,8
900671,10056,2025-11-01,Leave,0
900672,10056,2025-12-01,Present,8
900673,10057,2025-01-01,Present,8
900674,10057,2025-02-01,Present,8
900675,10057,2025-03-01,Present,8
900676,10057,2025-04-01,Work From Home,8
900677,10057,2025-05-01,Present,8
900678,10057,2025-06-01,Present,8
900679,10057,2025-07-01,Present,8
900680,10057,2025-08-01,Present,8
900681,10057,2025-09-01,Present,8
900682,10057,2025-10-01,Present,8
900683,10057,2025-11-01,Present,8
900684,10057,2025-12-01,Absent,0
900685,10058,2025-01-01,Present,8
900686,10058,2025-02-01,Present,8
900687,10058,2025-03-01,Present,8
900688,10058,2025-04-01,Present,8
900689,10058,2025-05-01,Present,8
900690,10058,2025-06-01,Present,8
900691,10058,2025-07-01,Absent,0
900692,10058,2025-08-01,Work From Home,8
900693,10058,2025-09-01,Present,8
900694,10058,2025-10-01,Work From Home,8
900695,10058,2025-11-01,Leave,0
900696,10058,2025-12-01,Present,8
900697,10059,2025-01-01,Present,8
900698,10059,2025-02-01,Present,8
900699,10059,2025-03-01,Present,8
900700,10059,2025-04-01,Present,8
900701,10059,2025-05-01,Present,8
900702,10059,2025-06-01,Present,8
900703,10059,2025-07-01,Present,8
900704,10059,2025-08-01,Present,8
900705,10059,2025-09-01,Present,8
900706,10059,2025-10-01,Present,8
900707,10059,2025-11-01,Absent,0
900708,10059,2025-12-01,Present,8
900709,10060,2025-01-01,Work From Home,8
900710,10060,2025-02-01,Present,8
900711,10060,2025-03-01,Present,8
900712,10060,2025-04-01,Present,8
900713,10060,2025-05-01,Present,8
900714,10060,2025-06-01,Leave,0
900715,10060,2025-07-01,Present,8
900716,10060,2025-08-01,Present,8
900717,10060,2025-09-01,Present,8
900718,10060,2025-10-01,Work From Home,8
900719,10060,2025-11-01,Work From Home,8
900720,10060,2025-12-01,Present,8
900721,10061,2025-01-01,Present,8
900722,10061,2025-02-01,Work From Home,8
900723,10061,2025-03-01,Work From Home,8
900724,10061,2025-04-01,Work From Home,8
900725,10061,2025-05-01,Present,8
900726,10061,2025-06-01,Work From Home,8
900727,10061,2025-07-01,Present,8
900728,10061,2025-08-01,Present,8
900729,10061,2025-09-01,Leave,0
900730,10061,2025-10-01,Present,8
900731,10061,2025-11-01,Present,8
900732,10061,2025-12-01,Absent,0
900733,10062,2025-01-01,Leave,0
900734,10062,2025-02-01,Work From Home,8
900735,10062,2025-03-01,Present,8
900736,10062,2025-04-01,Work From Home,8
900737,10062,2025-05-01,Present,8
900738,10062,2025-06-01,Present,8
900739,10062,2025-07-01,Present,8
900740,10062,2025-08-01,Present,8
900741,10062,2025-09-01,Present,8
900742,10062,2025-10-01,Present,8
900743,10062,2025-11-01,Present,8
900744,10062,2025-12-01,Present,8
900745,10063,2025-01-01,Present,8
900746,10063,2025-02-01,Present,8
900747,10063,2025-03-01,Present,8
900748,10063,2025-04-01,Work From Home,8
900749,10063,2025-05-01,Present,8
900750,10063,2025-06-01,Leave,0
900751,10063,2025-07-01,Present,8
900752,10063,2025-08-01,Present,8
