leave_id,employee_id,leave_type,start_date,leave_days,leave_status
950133,14543,Sick,2025-05-05,2,Approved
950134,13918,Casual,2025-06-29,1,Approved
950135,10535,Casual,2025-02-07,3,Approved
950136,10376,Earned,2025-11-05,2,Approved
950137,13593,Earned,2025-11-25,2,Approved
950138,11620,Casual,2025-06-13,1,Pending
950139,10112,Sick,2025-07-16,2,Approved
950140,12463,Casual,2025-07-31,4,Approved
950141,14617,Unpaid,2025-05-09,2,Pending
950142,10009,Earned,2025-03-26,1,Rejected
950143,10749,Sick,2025-01-25,2,Approved
950144,11342,Earned,2025-12-31,1,Approved
950145,14608,Sick,2025-01-29,4,Pending
950146,11648,Earned,2025-12-11,2,Approved
950147,13224,Earned,2025-07-06,3,Approved
950148,14329,Sick,2025-09-10,1,Approved
950149,14305,Sick,2025-06-29,1,Approved
950150,11650,Casual,2025-01-30,2,Approved
950151,10132,Casual,2025-04-12,1,Approved
950152,12166,Sick,2025-06-12,1,Approved
950153,13009,Sick,2025-01-12,4,Approved
950154,14897,Casual,2025-05-21,1,Approved
950155,10427,Sick,2025-08-08,2,Approved
950156,12221,Earned,2025-06-13,4,Approved
950157,14471,Casual,2025-12-12,1,Pending
950158,10105,Casual,2025-12-23,3,Approved
950159,12427,Earned,2025-12-14,1,Approved
950160,11596,Earned,2025-01-30,4,Rejected
950161,10522,Sick,2025-10-03,2,Approved
950162,10149,Earned,2025-10-31,1,Approved
950163,13030,Sick,2025-09-25,2,Approved
950164,11413,Sick,2025-07-16,2,Approved
950165,10195,Casual,2025-10-02,2,Approved
950166,12014,Sick,2025-05-30,3,Approved
950167,12624,Sick,2025-07-15,5,Approved
950168,12119,Casual,2025-04-24,1,Approved
950169,11306,Casual,2025-01-11,2,Approved
950170,13006,Sick,2025-01-24,1,Approved
950171,13345,Casual,2025-01-13,2,Approved
950172,14091,Unpaid,2025-03-21,5,Pending
950173,12413,Earned,2025-08-28,1,Pending
950174,13271,Unpaid,2025-05-28,3,Approved
950175,10669,Casual,2025-03-06,1,Rejected
950176,14877,Casual,2025-08-07,4,Approved
950177,11239,Casual,2025-05-25,1,Pending
950178,13378,Earned,2025-01-23,3,Pending
950179,13973,Sick,2025-05-02,3,Approved
950180,13008,Casual,2025-12-13,1,Approved
950181,12092,Sick,2025-11-02,3,Approved
950182,12249,Sick,2025-11-07,2,Approved
950183,13021,Sick,2025-09-03,1,Pending
950184,13451,Earned,2025-12-11,1,Rejected
950185,13264,Unpaid,2025-07-02,1,Rejected
950186,13274,Earned,2025-07-13,1,Approved
950187,14929,Earned,2025-02-08,2,Approved
950188,12439,Casual,2025-02-21,2,Approved
950189,11559,Earned,2025-07-10,1,Rejected
950190,12186,Casual,2025-01-06,1,Pending
950191,14937,Casual,2025-05-20,3,Approved
950192,13375,Earned,2025-09-22,1,Approved
950193,10649,Earned,2025-01-13,1,Approved
950194,11365,Earned,2025-09-26,2,Rejected
950195,13597,Earned,2025-08-05,3,Approved
950196,11640,Earned,2025-02-23,2,Rejected
950197,11369,Earned,2025-12-13,2,Approved
950198,12918,Casual,2025-04-10,3,Approved
950199,12775,Earned,2025-05-15,4,Approved
950200,12648,Casual,2025-02-21,3,Approved
950201,13491,Earned,2025-02-24,1,Rejected
950202,12382,Earned,2025-10-24,1,Approved
950203,10372,Earned,2025-02-20,1,Approved
950204,12810,Casual,2025-07-30,1,Approved
950205,10327,Earned,2025-10-17,1,Approved
950206,14728,Casual,2025-02-18,2,Rejected
950207,13116,Casual,2025-06-29,1,Pending
950208,14785,Sick,2025-01-05,3,Pending
950209,12170,Earned,2025-05-30,5,Rejected
950210,12525,Sick,2025-02-20,3,Approved
950211,14824,Sick,2025-04-08,3,Approved
950212,10915,Earned,2025-02-03,2,Rejected
950213,10138,Earned,2025-08-01,1,Approved
950214,11945,Sick,2025-08-19,1,Approved
950215,12252,Sick,2025-02-10,2,Approved
950216,10306,Casual,2025-01-29,1,Approved
950217,10265,Earned,2025-08-15,2,Approved
950218,10017,Sick,2025-12-09,2,Approved
950219,13534,Earned,2025-10-02,2,Approved
950220,13904,Casual,2025-09-03,1,Pending
950221,10780,Earned,2025-06-04,1,Approved
950222,12348,Casual,2025-04-13,1,Approved
950223,11386,Casual,2025-11-11,1,Approved
950224,10733,Sick,2025-02-04,3,Approved
950225,11361,Earned,2025-11-05,1,Approved
950226,13380,Unpaid,2025-01-13,1,Approved
950227,11117,Earned,2025-05-11,2,Approved
950228,14317,Earned,2025-09-19,3,Approved
950229,11492,Casual,2025-09-30,1,Approved
950230,13921,Earned,2025-07-25,1,Approved
950231,14322,Earned,2025-06-30,1,Pending
950232,12432,Earned,2025-03-14,3,Approved
950233,12903,Sick,2025-09-08,2,Approved
950234,12221,Sick,2025-02-04,1,Approved
950235,14393,Earned,2025-10-29,1,Approved
950236,14619,Earned,2025-07-20,1,Approved
950237,12132,Earned,2025-11-09,3,Approved
950238,10569,Casual,2025-06-02,3,Approved
950239,13597,Earned,2025-03-06,4,Approved
950240,14156,Sick,2025-10-25,1,Approved
950241,13901,Casual,2025-10-21,1,Pending
950242,12189,Unpaid,2025-10-13,1,Approved
950243,10133,Unpaid,2025-07-11,1,Pending
950244,10491,Casual,2025-04-25,2,Approved
950245,14060,Earned,2025-12-20,1,Approved
950246,13404,Earned,2025-05-31,1,Approved
950247,11481,Sick,2025-10-09,4,Approved
950248,12006,Earned,2025-06-04,3,Approved
950249,13078,Sick,2025-09-06,1,Approved
950250,14698,Casual,2025-01-26,1,Approved
950251,11913,Sick,2025-05-10,2,Approved
950252,12618,Casual,2025-09-22,3,Rejected
950253,13801,Casual,2025-03-30,2,Approved
950254,13053,Unpaid,2025-10-15,1,Approved
950255,10250,Sick,2025-01-21,5,Approved
950256,10682,Casual,2025-09-10,1,Approved
950257,11624,Earned,2025-08-17,1,Approved
950258,12365,Casual,2025-12-06,1,Approved
950259,11698,Sick,2025-12-23,1,Rejected
950260,14410,Earned,2025-08-06,2,Approved
950261,12115,Casual,2025-01-27,1,Approved
950262,10519,Earned,2025-07-15,4,Approved
950263,14280,Casual,2025-11-19,3,Approved
950264,14980,Casual,2025-11-03,1,Approved
950265,14684,Sick,2025-06-20,1,Approved
950266,10628,Casual,2025-04-25,3,Approved
950267,12708,Earned,2025-03-22,1,Approved
950268,11744,Earned,2025-08-11,2,Approved
950269,11266,Earned,2025-07-01,2,Pending
950270,14158,Casual,2025-02-02,2,Approved
950271,12971,Casual,2025-05-09,2,Approved
950272,11917,Unpaid,2025-12-16,1,Approved
950273,13348,Earned,2025-08-25,2,Approved
950274,11494,Sick,2025-05-20,3,Approved
950275,10718,Earned,2025-11-15,2,Approved
950276,12122,Casual,2025-01-03,1,Rejected
950277,14652,Earned,2025-03-14,1,Approved
950278,11257,Earned,2025-12-22,1,Approved
950279,12278,Unpaid,2025-10-17,1,Approved
950280,11748,Unpaid,2025-11-13,1,Approved
950281,14266,Unpaid,2025-03-31,4,Approved
950282,13802,Sick,2025-12-13,1,Approved
950283,11134,Sick,2025-11-02,4,Approved
950284,10258,Sick,2025-08-10,2,Approved
950285,10668,Sick,2025-11-28,1,Approved
950286,12839,Unpaid,2025-10-14,1,Approved
950287,12882,Earned,2025-01-28,5,Approved
950288,11043,Casual,2025-11-10,1,Approved
950289,12724,Earned,2025-07-02,1,Approved
950290,12566,Earned,2025-02-18,4,Approved
950291,13489,Casual,2025-01-02,2,Approved
950292,10089,Earned,2025-05-29,1,Approved
950293,11150,Unpaid,2025-07-06,3,Approved
950294,10430,Sick,2025-02-22,1,Approved
950295,11831,Casual,2025-03-11,1,Approved
950296,11372,Casual,2025-07-11,3,Approved
950297,13323,Earned,2025-09-21,1,Pending
950298,10958,Casual,2025-12-27,4,Approved
950299,14060,Casual,2025-01-06,3,Pending
950300,11462,Earned,2025-03-27,1,Approved
950301,14137,Sick,2025-01-22,1,Approved
950302,12918,Sick,2025-01-21,2,Approved
950303,13726,Earned,2025-11-01,1,Pending
950304,14771,Casual,2025-10-19,1,Approved
950305,13095,Earned,2025-04-05,2,Approved
950306,12298,Casual,2025-01-30,2,Approved
950307,10480,Sick,2025-01-09,1,Approved
950308,11542,Earned,2025-04-24,4,Rejected
950309,10968,Sick,2025-01-02,1,Approved
950310,13328,Casual,2025-12-30,1,Approved
950311,10675,Casual,2025-06-29,3,Approved
950312,13852,Casual,2025-10-17,2,Approved
950313,11912,Earned,2025-04-04,1,Approved
950314,12198,Sick,2025-11-13,1,Approved
950315,14152,Sick,2025-12-24,2,Rejected
950316,11803,Casual,2025-02-05,2,Approved
950317,12895,Casual,2025-04-12,1,Pending
950318,11562,Sick,2025-12-26,1,Approved
950319,11573,Earned,2025-04-06,1,Pending
950320,10993,Casual,2025-08-18,1,Approved
950321,10612,Sick,2025-02-09,1,Approved
950322,10860,Casual,2025-08-30,1,Approved
950323,14047,Sick,2025-11-15,1,Approved
950324,11755,Unpaid,2025-07-15,1,Approved
950325,14876,Earned,2025-10-19,4,Rejected
950326,11960,Casual,2025-04-27,2,Approved
950327,14237,Sick,2025-05-18,2,Rejected
950328,12083,Earned,2025-09-12,1,Approved
950329,10706,Earned,2025-02-19,1,Approved
950330,12731,Casual,2025-10-05,1,Approved
950331,13196,Earned,2025-04-06,1,Approved
950332,11724,Casual,2025-01-01,2,Approved
950333,10111,Unpaid,2025-06-29,1,Approved
950334,13315,Earned,2025-08-04,4,Approved
950335,11206,Sick,2025-08-09,1,Pending
950336,13949,Earned,2025-06-22,3,Approved
950337,13698,Sick,2025-12-15,1,Approved
950338,11678,Casual,2025-09-08,5,Approved
950339,13906,Casual,2025-04-22,1,Pending
950340,11691,Earned,2025-10-18,4,Approved
950341,14813,Unpaid,2025-01-12,3,Rejected
950342,11184,Earned,2025-06-24,1,Approved
950343,11967,Casual,2025-10-21,4,Approved
950344,13468,Earned,2025-04-10,1,Approved
950345,10163,Earned,2025-01-16,1,Approved
950346,10100,Sick,2025-12-25,2,Approved
950347,11437,Unpaid,2025-09-14,3,Approved
950348,13031,Unpaid,2025-11-11,1,Approved
950349,13248,Sick,2025-05-14,1,Approved
950350,10242,Casual,2025-10-19,1,Approved
950351,14724,Earned,2025-02-28,3,Rejected
950352,14702,Sick,2025-10-23,2,Approved
950353,14309,Sick,2025-08-25,2,Pending
950354,10018,Sick,2025-05-14,1,Approved
950355,10803,Earned,2025-03-13,1,Approved
950356,14664,Sick,2025-02-05,2,Approved
950357,12724,Earned,2025-06-08,5,Rejected
950358,14544,Casual,2025-08-27,1,Approved
950359,11369,Earned,2025-11-01,4,Rejected
950360,10749,Sick,2025-12-16,4,Approved
950361,14746,Earned,2025-02-28,3,Approved
950362,11686,Earned,2025-09-07,2,Rejected
950363,13845,Casual,2025-03-26,2,Pending
950364,14736,Casual,2025-02-08,1,Approved
950365,14492,Earned,2025-07-12,1,Approved
950366,13532,Earned,2025-03-30,1,Approved
950367,14037,Sick,2025-03-30,2,Approved
950368,10175,Casual,2025-01-23,2,Rejected
950369,10136,Sick,2025-08-26,1,Approved
950370,11743,Earned,2025-07-27,3,Approved
950371,10668,Casual,2025-10-16,1,Approved
950372,11657,Earned,2025-01-08,3,Pending
950373,14881,Unpaid,2025-10-29,1,Approved
950374,14853,Sick,2025-12-22,4,Approved
950375,11569,Earned,2025-11-25,3,Approved
950376,11008,Sick,2025-10-06,2,Approved
950377,10785,Casual,2025-01-12,1,Approved
950378,13927,Earned,2025-06-29,1,Approved
950379,14626,Sick,2025-03-05,2,Approved
950380,10075,Unpaid,2025-01-13,3,Approved
950381,12688,Sick,2025-09-30,1,Pending
950382,14319,Unpaid,2025-03-28,3,Approved
950383,10637,Unpaid,2025-03-01,3,Approved
950384,11531,Earned,2025-02-16,2,Approved
950385,14769,Sick,2025-01-27,2,Approved
950386,14415,Earned,2025-07-10,1,Pending
950387,10466,Earned,2025-04-21,1,Approved
950388,13886,Earned,2025-08-08,2,Approved
950389,10237,Earned,2025-07-08,1,Approved
950390,13796,Earned,2025-12-23,2,Approved
950391,12663,Earned,2025-06-06,2,Approved
950392,12560,Unpaid,2025-06-07,1,Approved
950393,13219,Earned,2025-06-24,1,Approved
950394,14914,Casual,2025-10-25,4,Approved
950395,11577,Casual,2025-10-05,4,Approved
950396,12709,Sick,2025-10-21,1,Approved
950397,10208,Sick,2025-06-21,5,Approved
950398,12199,Sick,2025-11-09,2,Approved
950399,12677,Earned,2025-12-01,1,Rejected
950400,12067,Unpaid,2025-08-18,2,Rejected
950401,11088,Casual,2025-11-22,1,Approved
950402,14360,Sick,2025-11-22,4,Pending
950403,10174,Earned,2025-09-19,2,Approved
950404,11796,Casual,2025-07-07,3,Approved
950405,10544,Casual,2025-04-23,2,Approved
950406,13794,Casual,2025-12-12,1,Approved
950407,13893,Casual,2025-10-18,1,Approved
950408,13296,Earned,2025-06-16,2,Approved
950409,13393,Sick,2025-04-22,1,Approved
950410,13639,Earned,2025-09-29,1,Approved
950411,11048,Earned,2025-04-22,1,Pending
950412,10334,Sick,2025-02-28,2,Pending
950413,10657,Casual,2025-10-28,2,Approved
950414,14144,Sick,2025-11-25,5,Pending
950415,14942,Earned,2025-05-19,1,Pending
950416,12170,Earned,2025-02-05,1,Approved
950417,12825,Casual,2025-02-24,2,Approved
950418,10698,Casual,2025-10-25,2,Approved
950419,10634,Earned,2025-02-28,1,Approved
950420,10059,Sick,2025-10-16,1,Approved
950421,10702,Earned,2025-11-28,1,Approved
950422,13434,Earned,2025-11-23,1,Rejected
950423,12481,Earned,2025-02-02,4,Approved
950424,11545,Casual,2025-05-21,4,Approved
950425,13916,Unpaid,2025-03-26,2,Approved
950426,10043,Sick,2025-03-15,4,Approved
950427,11246,Casual,2025-02-24,1,Pending
950428,10960,Casual,2025-04-23,1,Approved
950429,12880,Earned,2025-06-20,1,Approved
950430,14112,Sick,2025-12-05,1,Approved
950431,13156,Earned,2025-05-26,2,Pending
950432,14737,Sick,2025-11-24,2,Approved
950433,11906,Sick,2025-04-18,2,Rejected
950434,13656,Casual,2025-08-21,4,Approved
950435,10708,Earned,2025-03-20,2,Approved
950436,11589,Earned,2025-11-06,2,Approved
950437,14292,Earned,2025-08-29,1,Approved
950438,10129,Earned,2025-09-24,1,Approved
950439,13824,Casual,2025-07-29,1,Rejected
950440,13917,Earned,2025-09-19,2,Approved
950441,11081,Sick,2025-09-10,2,Rejected
950442,14279,Casual,2025-12-09,2,Approved
950443,14434,Earned,2025-03-01,2,Rejected
950444,13285,Sick,2025-04-29,1,Approved
950445,12944,Sick,2025-12-15,2,Pending
950446,13368,Earned,2025-08-20,2,Approved
950447,10672,Casual,2025-11-09,3,Pending
950448,12763,Sick,2025-09-04,1,Approved
950449,13999,Casual,2025-09-14,1,Approved
950450,14762,Sick,2025-07-16,2,Approved
950451,11736,Sick,2025-08-22,3,Approved
950452,13887,Casual,2025-08-26,5,Approved
950453,12473,Earned,2025-08-17,2,Approved
950454,11030,Casual,2025-10-31,3,Approved
950455,11657,Casual,2025-03-03,2,Pending
950456,14297,Unpaid,2025-10-26,1,Approved
950457,13385,Sick,2025-02-17,4,Approved
950458,14731,Sick,2025-03-18,2,Approved
950459,12163,Casual,2025-03-29,1,Approved
950460,10870,Earned,2025-03-05,1,Rejected
950461,12225,Earned,2025-08-07,1,Pending
950462,12945,Sick,2025-12-16,4,Approved
950463,14034,Casual,2025-01-11,2,Approved
950464,11611,Earned,2025-05-04,2,Approved
950465,12150,Casual,2025-06-27,1,Approved
950466,14795,Casual,2025-11-29,1,Approved
950467,13625,Casual,2025-11-17,1,Approved
950468,12622,Earned,2025-07-04,2,Pending
950469,12718,Earned,2025-10-06,1,Approved
950470,12185,Sick,2025-08-02,1,Approved
950471,10212,Sick,2025-03-02,3,Pending
950472,14292,Earned,2025-06-28,2,Approved
950473,14775,Sick,2025-03-12,1,Rejected
950474,13583,Sick,2025-02-08,2,Approved
950475,11416,Casual,2025-09-13,2,Approved
950476,11909,Earned,2025-03-04,2,Approved
950477,13806,Casual,2025-05-04,2,Approved
950478,10292,Earned,2025-03-12,1,Approved
950479,11882,Earned,2025-05-16,1,Approved
950480,12949,Sick,2025-04-03,1,Rejected
950481,12178,Earned,2025-10-04,2,Approved
950482,10338,Casual,2025-07-09,2,Approved
950483,13854,Casual,2025-11-30,2,Approved
950484,10332,Casual,2025-05-27,2,Approved
950485,13875,Casual,2025-02-23,4,Approved
950486,14219,Earned,2025-01-06,1,Pending
950487,13391,Unpaid,2025-12-20,2,Approved
950488,11441,Sick,2025-12-25,2,Approved
950489,12900,Earned,2025-11-20,2,Approved
950490,10906,Sick,2025-07-15,1,Approved
950491,11392,Casual,2025-07-15,2,Rejected
950492,11964,Sick,2025-09-06,3,Approved
950493,14341,Earned,2025-12-02,1,Pending
950494,13386,Casual,2025-06-13,1,Rejected
950495,14005,Unpaid,2025-05-15,2,Approved
950496,14778,Sick,2025-08-19,1,Approved
950497,11261,Casual,2025-12-05,1,Approved
950498,13476,Sick,2025-01-06,2,Approved
950499,13079,Sick,2025-10-18,4,Approved
950500,11647,Sick,2025-12-12,1,Pending
950501,12392,Earned,2025-09-30,2,Approved
950502,12060,Earned,2025-01-07,1,Approved
950503,14748,Casual,2025-12-23,1,Approved
950504,12151,Unpaid,2025-02-05,2,Approved
950505,13595,Casual,2025-03-21,1,Approved
950506,12871,Earned,2025-04-20,5,Pending
950507,13332,Unpaid,2025-08-03,1,Rejected
950508,14055,Unpaid,2025-01-27,3,Approved
950509,14585,Earned,2025-04-16,2,Approved
950510,10636,Sick,2025-05-15,1,Approved
950511,13305,Sick,2025-09-07,1,Pending
950512,13318,Sick,2025-11-23,1,Approved
950513,10878,Casual,2025-10-09,1,Approved
950514,10485,Earned,2025-10-06,2,Approved
950515,11972,Casual,2025-10-17,3,Approved
950516,13631,Casual,2025-11-03,3,Pending
950517,14283,Casual,2025-11-14,2,Approved
950518,14130,Sick,2025-10-26,1,Approved
950519,14811,Casual,2025-09-26,1,Pending
950520,13757,Casual,2025-02-24,1,Approved
950521,14510,Sick,2025-06-13,3,Approved
950522,12682,Sick,2025-04-23,3,Approved
950523,10219,Earned,2025-05-25,1,Approved
950524,14458,Earned,2025-04-13,3,Approved
950525,14440,Sick,2025-12-30,2,Approved
950526,14814,Casual,2025-12-13,4,Pending
950527,12908,Earned,2025-09-26,1,Approved
950528,11974,Earned,2025-09-06,3,Approved
950529,10555,Earned,2025-11-30,2,Approved
950530,12699,Sick,2025-06-09,5,Approved
950531,14184,Casual,2025-01-25,2,Rejected
950532,14664,Sick,2025-02-23,2,Approved
950533,13551,Casual,2025-10-06,2,Rejected
950534,11175,Unpaid,2025-09-02,5,Approved
950535,12259,Unpaid,2025-07-22,3,Approved
950536,13527,Earned,2025-01-02,4,Pending
950537,12263,Unpaid,2025-08-05,5,Approved
950538,13618,Casual,2025-01-22,3,Approved
950539,11276,Sick,2025-04-23,1,Pending
950540,14239,Earned,2025-08-29,3,Rejected
950541,13130,Sick,2025-02-26,1,Approved
950542,12854,Earned,2025-08-09,1,Approved
950543,12417,Casual,2025-10-12,5,Approved
950544,12611,Casual,2025-01-11,2,Pending
950545,14593,Earned,2025-08-05,2,Approved
950546,12555,Casual,2025-06-15,2,Approved
950547,14497,Casual,2025-12-11,1,Approved
950548,14304,Casual,2025-12-25,1,Approved
950549,12404,Earned,2025-05-04,1,Approved
950550,13038,Sick,2025-09-30,3,Rejected
950551,14869,Sick,2025-10-13,1,Approved
950552,13427,Casual,2025-11-20,1,Approved
950553,14078,Earned,2025-08-28,2,Approved
950554,12142,Casual,2025-11-03,2,Approved
950555,12195,Unpaid,2025-06-13,1,Approved
950556,12066,Earned,2025-02-01,1,Approved
950557,11451,Earned,2025-03-06,3,Approved
950558,11353,Sick,2025-11-15,2,Approved
950559,13359,Casual,2025-04-23,5,Rejected
950560,10465,Sick,2025-04-26,3,Approved
950561,10567,Sick,2025-08-03,1,Approved
950562,14098,Unpaid,2025-06-27,2,Approved
950563,13128,Casual,2025-01-14,2,Approved
950564,13455,Unpaid,2025-04-22,1,Approved
950565,10031,Earned,2025-05-29,3,Approved
950566,14391,Casual,2025-11-21,1,Approved
950567,10359,Earned,2025-06-02,1,Approved
950568,14391,Unpaid,2025-04-02,1,Approved
950569,12528,Sick,2025-06-11,5,Approved
950570,10382,Sick,2025-12-29,2,Approved
950571,11211,Sick,2025-04-28,1,Approved
950572,14593,Earned,2025-11-03,2,Approved
950573,14393,Sick,2025-11-14,5,Approved
950574,14287,Sick,2025-05-15,1,Pending
950575,11603,Casual,2025-07-13,1,Approved
950576,12954,Unpaid,2025-06-30,1,Approved
950577,13090,Unpaid,2025-08-01,1,Approved
950578,14195,Sick,2025-05-30,1,Approved
950579,10654,Earned,2025-03-11,1,Approved
950580,13576,Earned,2025-10-14,2,Approved
950581,10356,Casual,2025-05-14,4,Rejected
950582,10362,Sick,2025-05-07,1,Approved
950583,14438,Earned,2025-10-16,5,Rejected
950584,12285,Unpaid,2025-05-11,2,Approved
950585,10029,Casual,2025-09-14,1,Rejected
950586,10757,Casual,2025-01-26,1,Approved
950587,14591,Earned,2025-10-14,1,Rejected
950588,14455,Casual,2025-11-01,2,Approved
950589,11572,Unpaid,2025-08-18,3,Approved
950590,10747,Casual,2025-03-31,1,Approved
950591,11475,Unpaid,2025-09-07,3,Pending
950592,12401,Sick,2025-12-25,3,Approved
950593,13030,Unpaid,2025-02-11,1,Approved
950594,10413,Unpaid,2025-10-12,3,Approved
950595,13719,Earned,2025-07-12,3,Approved
950596,11249,Earned,2025-03-19,1,Approved
950597,14358,Earned,2025-01-16,1,Pending
950598,12141,Earned,2025-05-22,5,Pending
